id,name,url,regular_price,promo_price,brand
132165,METRO Chef Шейка телятина фермерская без кости охлажденная,https://online.metro-cc.ru/products/shejka-b-k-telyatina-fermerskaya-metro-chef-ohl-gaz,Раскупили,,METRO CHEF
216655,"Лопатка свиная на кости охлажденная, ~1.5кг",https://online.metro-cc.ru/products/15kg-lopatka-svinaya-na-kosti-ohl-vu,Раскупили,,Без бренда
545208,"Лопатка свиная охлажденная, ~1кг",https://online.metro-cc.ru/products/lopatka-v-vakuumnoj-upakovke,Раскупили,,Без бренда
218877,"Отруб Bazarco бескостный курдюк бараний охлажденный, ~1кг",https://online.metro-cc.ru/products/1kg-otrub-beskostnyy-kurdyuk-baraniy-bazarco-vu-ohl,Раскупили,,BAZARCO
305603,"Голяшка Останкино свиная охлажденная, ~1.36кг",https://online.metro-cc.ru/products/golyashka-vakuumnaya-upakovka,Раскупили,,ОСТАНКИНО
217643,"Кореечка Останкино в пряном маринаде охлажденная, 400г",https://online.metro-cc.ru/products/koreechka-ostankino-v-pryanom-marinade-ohlazhdennaya-400g,Раскупили,,ОСТАНКИНО
134807,Чак ролл говяжий зерновой откорм Аргентина охлажденный,https://online.metro-cc.ru/products/chak-roll-govyazhiy-ohl-vu-zernovoy-otkorm-argentina,Раскупили,,Без бренда
212622,"Голяшка Bazarco на кости охлажденная, ~1кг",https://online.metro-cc.ru/products/1kg-golyashka-na-kosti-bazarco-ohl-vu,Раскупили,,BAZARCO
131585,Окорок без кости Хан Баран бараний охлажденный,https://online.metro-cc.ru/products/okorok-b-k-han-ohl-v-u,Раскупили,,ХАН БАРАН
132966,Край толстый говяжий Мяско Халяль без кости охлажденный,https://online.metro-cc.ru/products/kray-tolstyy-govyazhiy-myasko-bez-kosti-ohlazhdennyy,Раскупили,,МЯСКО
128479,Корейка свиная на кости для производства охлажденная,https://online.metro-cc.ru/products/korejka-nk-d-proizvodstva-ohl-v-u,Раскупили,,БУТЧЕР
110728,"Часть лопатки Мясники задняя без кости охлажденная, ~5.6кг",https://online.metro-cc.ru/products/chast-zadnyaya-lopatochnogo-otruba-bez-kosti-myasniki-v-vakuumnoj-upakovke,Раскупили,,МЯСНИКИ
116749,"Стейк из лопатки телятины охлажденный Мираторг в вакуумной упаковке, 400г",https://online.metro-cc.ru/products/400g-stejk-miratorg-iz-lopatki-ohl-v-u,Раскупили,,МИРАТОРГ
328759,Рулька Мираторг свиная охлажденная,https://online.metro-cc.ru/products/rulka-vakuumnaya-upakovka,Раскупили,,МИРАТОРГ
106341,"Ребрышки Мираторг из мраморной говядины для запекания охлажденные, ~1.3кг",https://online.metro-cc.ru/products/rebryshki-iz-mramornoj-govyadiny-dlya-zapekaniya-ohlazhdennye,Раскупили,,МИРАТОРГ
559371,Окорок свиной вакуумная упаковка ОСТАНКИНО,https://online.metro-cc.ru/products/okorok-svinoj-vakuumnaya-upakovka-ostankino,Раскупили,,ОСТАНКИНО
87162,"Стейк Мираторг Мраморный из свинины в соусе BBQ охлажденный, 310г",https://online.metro-cc.ru/products/stejk-mramornyj-svinoj-v-souse-bbq-miratorg-310-g,Раскупили,,МИРАТОРГ
131584,Баранина Хан Баран набор для плова охлажденная,https://online.metro-cc.ru/products/han-nabor-dlya-plova-ohl-v-u,Раскупили,,ХАН БАРАН
559371,Окорок свиной вакуумная упаковка ОСТАНКИНО,https://online.metro-cc.ru/products/okorok-svinoj-vakuumnaya-upakovka-ostankino,Раскупили,,ОСТАНКИНО
381811,Окорок Мираторг свиной без кости охлажденный,https://online.metro-cc.ru/products/art_381811,Раскупили,,МИРАТОРГ
104799,Рубра говяжьи Мираторг охлажденные вакуум,https://online.metro-cc.ru/products/rubra-govyazhyi-miratorg-ohlazhdennye-vakuum,Раскупили,,МИРАТОРГ
212533,"Часть верхняя говяжья Orenbeef тазобедренного отруба охлажденная зернового откорма, ~2кг",https://online.metro-cc.ru/products/2kg-verhnyaya-chast-tbo-gov-orenbeef-ohl-zern-otkorm,Раскупили,,ORENBEEF
131584,Баранина Хан Баран набор для плова охлажденная,https://online.metro-cc.ru/products/han-nabor-dlya-plova-ohl-v-u,Раскупили,,ХАН БАРАН
116749,"Стейк из лопатки телятины охлажденный Мираторг в вакуумной упаковке, 400г",https://online.metro-cc.ru/products/400g-stejk-miratorg-iz-lopatki-ohl-v-u,Раскупили,,МИРАТОРГ
104157,"Баранина Эколь тазобедренная часть охлажденная Халяль, ~1.3кг",https://online.metro-cc.ru/products/aro-tazobedrennaya-chast-n-halyal,Раскупили,,ЭКОЛЬ
212518,"Вырезка говяжья Orenbeef охлажденная зернового откорма, ~1.8кг",https://online.metro-cc.ru/products/18kg-vyrezka-gov-orenbeef-ohl-zernov-otkorm,Раскупили,,ORENBEEF
642290,"Баранина для шашлыка из окорока Мясо есть! Халяль охлажденная, ~1.5кг",https://online.metro-cc.ru/products/dlya-shashlyka-okorok-halyal-myaso-est,Раскупили,,МЯСО ЕСТЬ!
38584,Шейка ягненка на кости охлажденная Мираторг вакуумная упаковка,https://online.metro-cc.ru/products/shejka-yagnenka-na-kosti-vakuumnaya-upakovka-38584,Раскупили,,МИРАТОРГ
311520,Корейка на кости свиная газовая среда ОСТАНКИНО,https://online.metro-cc.ru/products/korejka-na-kosti-svinaya-gazovaya-sreda-ostankino,Раскупили,,ОСТАНКИНО
381809,Лопатка Мираторг свиная без кожи охлажденная,https://online.metro-cc.ru/products/lopatka-bez-kozhi-podlozhka-miratorg,Раскупили,,МИРАТОРГ
110710,"Часть отруба Мясники внутренняя тазобедренная часть без кости охлажденная, ~7.3кг",https://online.metro-cc.ru/products/chast-vnutrennyaya-tazobedrennogo-otruba-bez-kozhi-myasniki-v-vakuumnoj-upakovke,Раскупили,,МЯСНИКИ
110716,Стейк из диафрагмы без кости МЯСНИКИ охлажденный в вакуумной упаковке,https://online.metro-cc.ru/products/stejk-iz-diafragmy-bez-kosti-myasniki-ohlazhdennyj-v-vakuumnoj-upakovke,Раскупили,,МЯСНИКИ
127765,Диафрагма тонкая говяжья зерновой откорм Уругвай охлажденная,https://online.metro-cc.ru/products/tonkaya-diafragma-govyazhij-zern-otkorm-urugvaj-ohl-v-u,Раскупили,,GRAND ANA PAULA
110709,"Отруб подлопаточный Мясники без кости охлажденный, ~4.5кг",https://online.metro-cc.ru/products/otrub-podlopatochnyj-bez-kozhi-ohlazhdennyj-myasniki-v-vakuumnoj-upakovke,Раскупили,,МЯСНИКИ
126925,Тонкая диафрагма говяжья зерновой откорм Уругвай охлажденная в вакууме,https://online.metro-cc.ru/products/tonkaya-diafragma-govyazhya-zernovoj-otkorm-urugvaj-ohlazhdennaya-v-vakuume,Раскупили,,Без бренда
128469,Ребро мясное гриль охлажденное,https://online.metro-cc.ru/products/rebro-svinoe-gril-ohl-v-u,Раскупили,,БУТЧЕР
654956,Вырезка Промагро свиная охлажденная,https://online.metro-cc.ru/products/vyrezka-vakuumnaya-upakovka-654956,Раскупили,,Без бренда
369700,Лопатка свиная охлажденная,https://online.metro-cc.ru/products/svinoe-file-lopatki-v-vakuumnoj-upakovke,Раскупили,,Без бренда
126920,Толстый край говяжий 1/2 зерновой откорм Уругвай охлажденный в вакууме,https://online.metro-cc.ru/products/tolstyj-kraj-govyazhij-1-2-zernovoj-otkorm-urugvaj-ohlazhdennyj-v-vakuume,Раскупили,,Без бренда
131591,Часть бедра наружная Диета18 говядина охлажденная,https://online.metro-cc.ru/products/naruzhnaya-chast-bedra-dieta-18-ohl-v-u,Раскупили,,ДИЕТА18
127770,Край тонкий говяжий Grand Ana Paula 1/2 зерновой откорм Уругвай охлажденный,https://online.metro-cc.ru/products/tonkij-kraj-1-2-govyazhij-zern-otkorm-urugvaj-ohl-v-u,Раскупили,,GRAND ANA PAULA
656130,Корейка Останкино свиная на кости без позвоночника,https://online.metro-cc.ru/products/korejka-na-kosti-bez-pozvonochnika-v-u-ostankino,Раскупили,,ОСТАНКИНО
123260,Свинина Останкино праздничная для запекания охлажденная,https://online.metro-cc.ru/products/prazdnichnaya-mgs-ohl-lotok-dlya-zap,Раскупили,,ОСТАНКИНО
621636,Стейк фленк Rioplatense говяжий охлажденный,https://online.metro-cc.ru/products/tacuarembo-okovalok,Раскупили,,RIOPLATENSE
127769,Стейк фленк говяжий зерновой откорм Уругвай охлажденный,https://online.metro-cc.ru/products/flenk-stejk-govyazhij-zern-otkorm-urugvaj-ohl-v-u,Раскупили,,GRAND ANA PAULA
